Station_Name,Latitude,Longitude,State,Town,Power_kW
Relux Charging Station,19.790746199999997,85.8030868,Odisha,,30.0
Electric Vehicle Charging Station,19.718937999999998,85.5235713,Odisha,,7.4
Ather Grid Charging Station,19.799158,85.664566,Odisha,,1.100000023841858
Ather Grid Charging Station,19.71935,85.52448679999999,Odisha,,1.100000023841858
Jio-bp pulse Charging Station,19.678549999999998,85.171409,Odisha,,7.4
Tata Power Charging Station,19.6782474,85.1714786,Odisha,,30.0
Adani Charging Station,19.6331555,85.1353263,Odisha,,7.4
BPCL Charging Station,19.749316,85.20759799999999,Odisha,,60.0
Jio-bp,19.731375,83.479141,Odisha,,7.4
Tata Power Charging Station,19.652452999999998,82.225619,Odisha,,30.0
Ather Grid Charging Station,19.31151,84.83354,Odisha,,1.100000023841858
Ather Grid Charging Station,19.34123,84.76845,Odisha,,1.100000023841858
Ather Grid Charging Station,19.324255,84.87503,Odisha,,1.100000023841858
Electric Vehicle Charging Station,19.3171717,84.7772474,Odisha,,7.4
Electric Vehicle Charging Station,19.3071386,84.8292277,Odisha,,7.4
Electric Vehicle Charging Station,19.3194175,84.7844863,Odisha,,7.4
Ather Grid Charging Station,19.308462,84.77319,Odisha,,7.4
Ather Grid Charging Station,19.301503999999998,84.83013,Odisha,,7.4
Ather Grid Charging Station,19.306037999999997,84.78173,Odisha,,1.100000023841858
Tata Power Charging Station,19.315210999999998,84.85814400000001,Odisha,,25.0
Ather Grid Charging Station,19.31608,84.85278,Odisha,,1.100000023841858
Ather Grid Charging Station,19.30744,84.81665,Odisha,,7.4
Electric Vehicle Charging Station,19.3176997,84.79058359999999,Odisha,,7.4
Ather Grid Charging Station,19.32163,84.86715,Odisha,,1.100000023841858
Ather Grid Charging Station,19.319885,84.78112999999999,Odisha,,1.100000023841858
Ather Grid Charging Station,19.2956471,84.81956579999999,Odisha,,7.4
BPCL Charging Station,19.334626999999998,84.768619,Odisha,,7.4
Ather Charging Station,19.3057277,84.7817268,Odisha,,1.100000023841858
Ather Grid Charging Station,19.303380999999998,84.79504399999999,Odisha,,7.4
Tata Power Charging Station,19.2991714,84.83176309999999,Odisha,,7.4
Maa Tara Tarini Tour And Travels,19.447535,84.591458,Odisha,,7.4
Electric Vehicle Charging Station,19.180775999999998,84.725327,Odisha,,30.0
Ather Grid Charging Station,19.268919999999998,84.77745,Odisha,,1.100000023841858
BPCL Charging Station,19.183324000000002,84.727616,Odisha,,30.0
Ather Grid Charging Station,19.194212,84.61756,Odisha,,1.100000023841858
Ather Grid Charging Station,18.845465,84.50309999999999,Odisha,,1.100000023841858
DIMILI VILLAGE,18.802062499999998,83.9918125,Odisha,,7.4
Electric Vehicle Charging Station,18.7689167,83.4215387,Odisha,,7.4
Tata Power Charging Station,18.8582131,82.5899051,Odisha,,30.0
BPCL Charging Station,18.84732,82.56517099999999,Odisha,,30.0
Ather Grid Charging Station,18.606023999999998,84.22991499999999,Odisha,,1.100000023841858
Tata Power Charging Station,18.534753,83.651339,Odisha,,30.0
okinawa electric scooter,18.597046499999998,83.7640945,Odisha,,7.4
Electric Vehicle Charging Station,18.6104394,83.39922849999999,Odisha,,7.4
Tata Power Charging Station,18.503509299999997,83.2469705,Odisha,,30.0
Jio-bp,18.7012078,82.879837,Odisha,,7.4
Ather Grid Charging Station,18.295932999999998,83.893148,Odisha,,7.4
Jio-bp pulse Charging Station,18.3262791,83.941268,Odisha,,7.4
Tata Power Charging Station,18.3243588,83.9391102,Odisha,,25.0
DK MOTORS,18.322673599999998,83.893722,Odisha,,7.4
Urzza Charging Station,18.424328499999998,84.04802459999999,Odisha,,7.4
Ather Energy Charging Station,18.309545999999997,83.91882,Odisha,,1.100000023841858
Voltran Charging Station,18.3004408,83.8711628,Odisha,,7.4
Jio-bp,18.289378,83.914594,Odisha,,7.4
Ather Grid Charging Station,18.2791756,83.5261386,Odisha,,7.4
AtherGrid Charging Station,18.337203799999997,82.87792549999999,Odisha,,1.100000023841858
Ather Grid Charging Station,18.3225938,82.8776518,Odisha,,1.100000023841858
Charzer Charging Station,18.295865199999998,82.9144748,Odisha,,7.4
Electric Vehicle Charging Station,18.3137141,82.8937424,Odisha,,7.400000095367432
Tata Power Charging Station,18.139519,83.617595,Odisha,,30.0
Jio-bp pulse Charging Station,18.1499177,83.6353106,Odisha,,7.4
Tata Power Charging Station,18.173032,83.676949,Odisha,,30.0
JoulePoint Charging Station,18.0418515,83.50972209999999,Odisha,,7.4
Bolt.Earth Charging Station,18.0203857,83.4020948,Odisha,,7.4
Ather Grid Charging Station,18.0565007,83.3971128,Odisha,,1.100000023841858
Electric Vehicle Charging Station,18.057097199999998,83.39718810000001,Odisha,,7.4
ParkNConnect Charging Station,18.092801599999998,83.3884047,Odisha,,7.4
Ather Grid Charging Station,18.080786,83.38528,Odisha,,1.100000023841858
Hindustan Petroleum Corporation Limited Charging Station,17.9524227,83.4163581,Odisha,,30.0
Ather Grid Charging Station,18.0801438,83.38535089999999,Odisha,,1.100000023841858
Hindustan Petroleum Corporation Limited,17.952420999999998,83.416311,Odisha,,7.4
Tata Power Charging Station,17.957767699999998,83.1773604,Odisha,,30.0
Ather Grid Charging Station,18.116682,83.13772,Odisha,,1.100000023841858
Jio-bp,18.289378,83.914594,Odisha,,7.4
Royal Drive EVCS,8.503495480028349,76.91166164075435,Kerala,Venpalavattom,80.0
Poovar PNT EVCS,8.315968832633814,77.09035464903081,Kerala,Kulathoor,80.0
Ayyappa EVCS,9.478662771564018,76.84487199188538,Kerala,Erumely,30.0
Adimali Rangers,10.014144203609249,76.94382996626405,Kerala,Adimali,80.0
Hill View EVCS,10.069936650612604,77.0609419438648,Kerala,Munnar,90.0
Cargo Auto Hub EVCS,9.702761974968482,76.72119375310945,Kerala,Bharananganam,90.0
Minerva EVCS,9.69257642934194,76.5596900481155,Kerala,Ettumanoor,60.0
Savoi Complex EVCS,9.86134074552723,76.59599011191699,Kerala,Koothattukulam,80.0
Haridwar EVCS,9.872065277160488,76.5961145873373,Kerala,Koothattukulam,60.0
Pattakulam EV Super Charging Station,10.058637624098736,76.65237791798609,Kerala,Kothamangalam,90.0
Eco Park EVCS,10.068236156628487,76.38681352633876,Kerala,Pukkattupady,80.0
Yash Square EVCS,10.110574970248052,76.3728727396483,Kerala,Aluva,60.0
Ie.On EVCS,10.088670267690219,76.42441988441647,Kerala,Vazhakkulam,90.0
JP Complex EVCS,10.111540536058044,76.47892756655858,Kerala,Perumbavoor,80.0
